Country Name,Country Code,Region,%Essential Workers,%Indoor Essential Workers,%Vital Workers,%Indoor Vital Workers,"GDP per capita, PPP (current international $)",GDP Year (PPP),GDP Year (USD),GDP per capita (current US$),Food % of Essential Workers,Food % of Indoor Essential Workers,Food % of Vital Workers,Food % of Indoor Vital Workers
Burkina Faso,BFA,Western Africa,0.6907999999999997,0.1753690537838622,0.5295358331283615,0.0454570212345785,2901.04214238045,2024.0,2024.0,982.493100418428,0.7051385331493416,0.06054014628030031,0.9002523432370116,0.004906702314861895
Bangladesh,BGD,Southern Asia,0.6733659116227686,0.2267854991690979,0.5008539745575769,0.0899629587533969,9660.77962818873,2024.0,2024.0,2593.41611680774,0.5944879635954176,0.028598693186032413,0.7987708470256855,0.06942182576768044
Bulgaria,BGR,Eastern Europe,0.3941373882712756,0.3109169238008439,0.1924322224200577,0.1437427446846665,41969.595471884,2024.0,2024.0,17596.9167621233,0.09575595612882792,0.02253309476217521,0.16990648459674626,0.013638256914915084
Bahrain,BHR,Western Asia,0.3394119253646364,0.2762814377295813,0.1476512192107522,0.1159024937124508,67230.1000247874,2024.0,2024.0,29717.1424605273,,,,
Bahamas,BHS,Caribbean,0.3985635076352966,0.3283953050870735,0.170253090664586,0.1344968277230364,41257.7650774105,2024.0,2024.0,39455.4466548546,0.09911561425568888,0.049180139477214134,0.14376143378073752,0.008345835862571248
Bosnia and Herzegovina,BIH,Southern Europe,0.4770000000000002,0.2962968931881003,0.2865508805835308,0.1382869234084735,25148.0128390147,2024.0,2024.0,9397.90942855997,0.28568494818243834,0.013423721701181272,0.472268188521335,0.021943882831730804
Belarus,BLR,Eastern Europe,0.418671940705514,0.3412998534749304,0.2311363570705518,0.1817207647098342,33166.3827902975,2024.0,2024.0,8605.60954569694,0.07645953184511417,0.01125498048837362,0.1254057642165552,0.00448872260955831
Belize,BLZ,Central America,0.535949671108297,0.3447718666293272,0.2820602180091727,0.1325228035470234,14367.3539278152,2024.0,2024.0,7681.24400583113,0.3007068289471633,0.07762020720838844,0.5216024463796397,0.09598979988817864
Bermuda,BMU,Northern America,0.3827685485198029,0.249056154765952,0.2184885765149879,0.1095873240268811,118727.973294368,2024.0,2024.0,142250.433195123,,,,
Bolivia,BOL,South America,0.5623999999999999,0.3041291646013965,0.3174413697624322,0.100295605687898,12896.3370149215,2024.0,2024.0,4421.16609889999,0.3846660517276609,0.04735948485495785,0.6393956088767866,0.010347721299130454
